Timestamp,model,avs_slug,meds_sentence,meds_completion
2024-01-23-T-07-12-07,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-06-32-23,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-16-45-17,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-05-08-45,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-16-53-51,gpt-4-1106-preview,endo,"Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-06-46-02,gpt-4-1106-preview,endo,- Keep taking Aspirin and pain relievers like Advil or Aleve.,Complete
2024-01-23-T-07-06-07,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn.",Complete
2024-01-23-T-17-29-30,gpt-4-1106-preview,endo,"Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-05-50-42,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-06-54-43,gpt-4-1106-preview,endo,- Keep taking Aspirin and pain relievers like Advil or Aleve unless we tell you not to.,Complete
2024-01-23-T-04-50-25,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-06-50-46,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-16-50-31,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn.",Complete
2024-01-23-T-16-26-53,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn.",Complete
2024-01-23-T-06-09-16,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-06-36-52,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-17-05-01,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn.",Complete
2024-01-23-T-05-27-23,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-17-16-19,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-16-57-39,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-06-59-41,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-06-41-20,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
Unmodified 0,unmodified,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking it.",Complete
2024-01-23-T-17-20-21,gpt-4-1106-preview,endo,- Keep taking Aspirin or pain relievers like Advil or Aleve.,Complete
2024-01-23-T-05-45-49,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-05-55-14,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-16-33-58,gpt-4-1106-preview,endo,- Keep taking Aspirin and pain relievers like Advil or Aleve.,Complete
2024-01-23-T-17-33-07,gpt-4-1106-preview,endo,**If You Take Aspirin or Pain Relievers:**,Complete
