Timestamp,model,transportion_sentence,transportation_completion
Unmodified 1,unmodified,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
Unmodified 3,unmodified,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
Unmodified 0,unmodified,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
Unmodified 4,unmodified,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
Unmodified 2,unmodified,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-21-51,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-32-23,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-35-15,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-19-33,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-22-22,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-04-56-29,gpt-3.5-turbo,"More than one sentence found: Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-44-10,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-58-41,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-20-06,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-08-45,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-03-13,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-39-46,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-26-33,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-37-21,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-38-06,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-13-09,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-50-42,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-28-08,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-05-49-45,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-05-04-48,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-53-20,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-06-17-44,gpt-3.5-turbo,"More than one sentence found: Located at 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-23-53,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-55-43,gpt-3.5-turbo,More than one sentence found: Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.,Complete
2024-01-23-T-04-50-25,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-08-29,gpt-3.5-turbo,"More than one sentence found: 300 Pasteur Drive, Stanford Hospital, Pavilion E25, Surgical Admission Unit/Anesthesia Pre-Evaluation Clinic.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-09-16,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
2024-01-23-T-06-36-52,gpt-3.5-turbo,"More than one sentence found: Endoscopy: Located at 300 Pasteur Drive, Stanford Hospital, Ground floor.  Remember, you must arrange for an adult to drive you home after surgery.  A taxi or ride share driver is not acceptable unless you have a responsible adult to accompany you home.",Complete
